Taxon,log10,Treatment,LDA,p_kruskalwallis,Compartment
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Hyphomicrobiaceae.Hyphomicrobium.NA,3.678663239,Antibiotics,3.342730561,0.000174887,Rhizosphere
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Devosiaceae.Devosia.NA,4.048221762,Control,3.295516548,0.001224283,Rhizosphere
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Methylophilaceae,4.770377305,Antibiotics,4.434734555,3.23E-05,Rhizosphere
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Nitrosomonadaceae.Nitrosospira,3.379438526,Control,3.079484179,0.002680172,Rhizosphere
Bacteria.Cyanobacteria.Melainabacteria.Vampirovibrionales.NA,2.522668459,Control,3.208812912,0.001418408,Rhizosphere
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Methylophilaceae.Methylotenera.NA,4.766476241,Antibiotics,4.431516417,3.23E-05,Rhizosphere
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Burkholderiaceae.NA.NA,4.425896505,Control,3.686970181,0.004669132,Rhizosphere
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Burkholderiaceae.NA,4.425896505,Control,3.686970181,0.004669132,Rhizosphere
Bacteria.Acidobacteria.Blastocatellia_Subgroup4_.Pyrinomonadales,3.769032215,Control,3.117876533,0.000532006,Rhizosphere
Bacteria.Actinobacteria.Actinobacteria.Micrococcales,4.624952926,Antibiotics,3.676491671,0.000275504,Rhizosphere
Bacteria.Cyanobacteria.Oxyphotobacteria.OxyphotobacteriaIncertaeSedis,3.418570898,Control,3.113868714,0.001832766,Rhizosphere
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Arenimonas.NA,3.140385365,Control,3.090862523,0.003861437,Rhizosphere
Bacteria.Actinobacteria.Actinobacteria.Micrococcales.Promicromonosporaceae.Promicromonospora,3.039675078,Control,3.230535556,0.002027929,Roots
Bacteria.Bacteroidetes.Bacteroidia.Cytophagales,4.547722621,Control,4.114178474,0.000219851,Roots
Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales.Caulobacteraceae.Caulobacter,4.484451188,Control,3.727455138,0.003234912,Roots
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Devosiaceae,4.353252936,Control,3.664177991,0.000532006,Roots
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Beijerinckiaceae.Methylobacterium.NA,4.655829678,Antibiotics,4.292743643,3.23E-05,Roots
Bacteria.Actinobacteria.Actinobacteria.Propionibacteriales.Nocardioidaceae.Nocardioides.Nocardioidessimplex,2.99475524,Control,3.535806746,0.001075427,Roots
Bacteria.Actinobacteria.Actinobacteria.Micrococcales.Promicromonosporaceae,3.290452318,Control,3.357129702,0.001063164,Roots
Bacteria.Bacteroidetes.Bacteroidia.Cytophagales.Spirosomaceae.Dyadobacter,4.432875827,Control,4.003449866,0.000658337,Roots
Bacteria.Acidobacteria.Acidobacteriia.Acidobacteriales.Acidobacteriaceae_Subgroup1_,4.042416269,Antibiotics,3.502498266,0.004669132,Roots
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Rhodanobacteraceae.Rhodanobacter,4.081922198,Antibiotics,3.5808231,0.004669132,Roots
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Methylophilaceae.Methylotenera,4.561987211,Antibiotics,4.08758854,4.15E-05,Roots
Bacteria.Actinobacteria.Actinobacteria.Micrococcales.Promicromonosporaceae.Promicromonospora.NA,3.039675078,Control,3.207202098,0.002027929,Roots
Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales.Caulobacteraceae.Caulobacter.NA,4.484451188,Control,3.727455138,0.003234912,Roots
Bacteria.Acidobacteria.Acidobacteriia,4.120103889,Antibiotics,3.513025483,0.004669132,Roots
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Devosiaceae.Devosia,4.348619976,Control,3.630222298,0.000532006,Roots
Bacteria.Bacteroidetes.Bacteroidia.Cytophagales.Spirosomaceae,4.434922386,Control,4.005399971,0.000658337,Roots
Bacteria.Actinobacteria.Actinobacteria.Micrococcales.Micrococcaceae.Paenarthrobacter,3.717751245,Control,3.414655683,0.000344158,Roots
Bacteria.Actinobacteria.Actinobacteria.Micrococcales.Micrococcaceae,4.171899134,Control,3.626012891,0.000658337,Roots
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Beijerinckiaceae,4.802433044,Antibiotics,4.371382875,3.23E-05,Roots
Bacteria.Bacteroidetes.Bacteroidia.Cytophagales.Spirosomaceae.Dyadobacter.Dyadobacterfermentans,4.323997234,Control,3.88906639,0.000275504,Roots
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Beijerinckiaceae.Methylobacterium,4.661733952,Antibiotics,4.295682957,3.23E-05,Roots
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Devosiaceae.Devosia.NA,4.34588137,Control,3.647823068,0.000532006,Roots
Bacteria.Acidobacteria.Acidobacteriia.Acidobacteriales,4.061262807,Antibiotics,3.530387826,0.003234912,Roots
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Methylophilaceae,4.5852571,Antibiotics,4.117277476,4.15E-05,Roots
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Methylophilaceae.Methylotenera.NA,4.561987211,Antibiotics,4.08758854,4.15E-05,Roots
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Rhodanobacteraceae.Rhodanobacter.NA,4.081922198,Antibiotics,3.5808231,0.004669132,Roots
Bacteria.Actinobacteria.Actinobacteria.Micrococcales.Micrococcaceae.Paenarthrobacter.NA,3.717751245,Control,3.414655683,0.000344158,Roots
Bacteria.Chloroflexi.Ktedonobacteria,3.270505476,Antibiotics,3.261201271,0.003892417,Roots
